Study,Title,Organism,Project Type,Description,Factors,Assays,Mission,Experiment Platform,DOI
OSD-581,A molecular study of Italian ryegrass grown on Martian regolith simulant,Lolium multiflorum,Ground Study,"In the last decade, the exploration of deep space has become the objective of the national space programs of many countries. The International Space Exploration Coordination Group has set a roadmap whose long-range strategy envisions the expansion of human presence in the solar system to progress with exploration and knowledge and to accelerate innovation. Crewed missions to Mars could be envisaged by 2040. In this scenario, finding ways to use the local resources for the provision of food, construction materials, propellants, pharmaceuticals is needed. Plants are important resources for deep space manned missions because they produce phytochemicals of pharmaceutical relevance, are sources of food and provide oxygen which is crucial in bioregenerative life support systems. Growth analysis and plant biomass yield have been previously evaluated on Martian regolith simulants; however, molecular approaches employing gene expression analysis and proteomics are still missing. The present work aims at filling this gap by providing molecular data on a representative member of the Poaceae, Lolium multiflorum Lam., grown on potting soil and a Martian regolith simulant (MMS-1). The molecular data were complemented with optical microscopy of root/leaf tissues and physico-chemical analyses. The results show that the plants grew for 2 weeks on regolith simulants. The leaves were bent downwards and chlorotic, the roots developed a lacunar aerenchyma and small brownish deposits containing Fe were observed. Gene expression analysis and proteomics revealed changes in transcripts related to the phenylpropanoid pathway, stress response, primary metabolism and proteins involved in translation and DNA methylation. Additionally, the growth of plants slightly but significantly modified the pH of the regolith simulants. The results here presented constitute a useful resource to get a comprehensive understanding of the major factors impacting the growth of plants on MMS-1.","soil environment exposure
Organism Part",protein expression profiling,,,10.26030/j6nv-8z71
OSD-582,Resequencing of select microbial isolates from the International Space Station with the Nanopore MinION,"Pseudomonas fulva
Staphylococcus saprophyticus",Spaceflight Study,Microbial isolates from the NASA Space Biology-funded microbial tracking experiments were re-sequenced using the Oxford Nanopore MinION.,Spaceflight,genome sequencing,,Surfaces,10.26030/v6s6-w170
OSD-583,Characterization of mouse ocular responses (intraocular pressure) to a 35-day (RR-9) spaceflight mission: Evidence of blood-retinal barrier disruption and ocular adaptations,Mus musculus,Spaceflight Study,"The health risks associated with spaceflight-induced ocular structural and functional damage has become a recent concern for NASA. The goal of the present study was to characterize the effects of spaceflight and reentry to 1 g on the structure and integrity of the retina and blood-retinal barrier (BRB) in the eye. To investigate possible mechanisms, changes in protein expression profiles were examined in mouse ocular tissue after spaceflight. Ten week old male C57BL/6 mice were launched to the International Space Station (ISS) on Space-X 12 at the Kennedy Space Center (KSC) on August, 2017. After a 35-day mission, mice were returned to Earth alive. Within 38 +/− 4 hours of splashdown, mice were euthanized and ocular tissues were collected for analysis. Ground control (GC) and vivarium control mice were maintained on Earth in flight hardware or normal vivarium cages respectively. Repeated intraocular pressure (IOP) measurements were performed before the flight launch and remeasured before the mice were euthanized after splashdown. IOP was significantly lower in post-flight measurements compared to that of pre-flight (14.4–19.3 mmHg vs 16.3–20.3 mmHg) (p less than 0.05) for the left eye. Flight group had significant apoptosis in the retina and retinal vascular endothelial cells compared to control groups (p less than 0.05). Immunohistochemical analysis of the retina revealed that an increased expression of aquaporin-4 (AQP-4) in the flight mice compared to controls gave strong indication of disturbance of BRB integrity. There were also a significant increase in the expression of platelet endothelial cell adhesion molecule-1 (PECAM-1) and a decrease in the expression of the BRB related tight junction protein, Zonula occludens-1 (ZO-1). Proteomic analysis showed that many key proteins and pathways responsible for cell death, cell cycle, immune response, mitochondrial function and metabolic stress were significantly altered in the flight mice compared to ground control animals. These data indicate a complex cellular response that may alter retina structure and BRB integrity following long-term spaceflight. This dataset derives results from the intraocular pressure (tonometry) assay.",Spaceflight,Intraocular Pressure,SpaceX-12,Rodent Habitat,10.26030/dy66-3w71
OSD-588,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids - Drosophila data,Drosophila melanogaster,Spaceflight Study,"In this study, fruit flies and their parasitic wasps were sent to the ISS to examine changes in host immunity and parasite virulence. Key findings from this work are as follows: (a) Spaceflight spiked the expression of inflammation genes in fruit flies; (b) Spaceflight enhanced tumor growth in flies already suffering from chronic inflammation; (c) Spaceflight did not significantly affect parasitic wasp development, emergence, or the expression of virulence genes; (d) Parasite mutants with visible wing color and shape alterations were obtained. This study contains Drosophila melanogaster data. The Leptopilina heterotoma14 data is deposited in OSD-609, https://osdr.nasa.gov/bio/repo/data/studies/OSD-609, and the Leptopilina boulardi17 data is deposited in OSD-610, https://osdr.nasa.gov/bio/repo/data/studies/OSD-610.","Spaceflight
Genotype
Developmental Stage
Infection",transcription profiling,SpaceX-14,"Vented Fly Box, Cargo Transfer Bag (CTB)",10.26030/v9rh-5a70
OSD-590,First transcriptome profiling of D. melanogaster after development in a deep underground low radiation background laboratory,Drosophila melanogaster,Ground Study,"Natural background radiation is a permanent multicomponent factor. It has an influence on biological organisms, but effects of its deprivation still remain unclear. The aim of our work was to study for the first time responses of D. melanogaster to conditions of the Deep Underground Low-Background Laboratory DULB-4900 (BNO, INR, RAS, Russia) at the transcriptome level by RNA-seq profiling. Overall 77 transcripts demonstrated differential abundance between flies exposed to low and natural background radiation. Enriched biological process functional categories were established for all genes with differential expression. The results showed down-regulation of primary metabolic processes and up-regulation of both the immune system process and the response to stimuli. The comparative analysis of our data and publicly available transcriptome data on D. melanogaster exposed to low and high doses of ionizing radiation did not reveal common DEGs in them. We hypothesize that the observed changes in gene expression can be explained by the influence of the underground conditions in DULB-4900, in particular, by the lack of stimuli. Thus, our study challenges the validity of the LNT model for the region of background radiation doses below a certain level (~16.4 nGy h-1) and the presence of a dose threshold for D. melanogaster.","Ionizing Radiation
ionizing radiation device or source",transcription profiling,,,10.26030/1vjp-h438
OSD-591,"Effects of low-dose oxygen ions and protons on cardiac function and structure in male C57BL/6J mice (western blot, histology, and immunohistochemistry)",Mus musculus,Ground Study,"Purpose: Astronauts traveling beyond low Earth orbit will be exposed to high linear energy transfer charged particles. Because there is concern about the adverse effects of space radiation on the cardiovascular system, this study assessed cardiac function and structure and immune cell infiltration in a mouse model of charged particle irradiation. Materials and methods: Male C57BL/6 J mice were exposed to oxygen ions (16O, 600 MeV/n at 0.25 to 0.26 Gy/min to a total dose of 0, 0.05, 0.1, 0.25, or 1 Gy), protons (150 MeV, 0.35 to 0.55 Gy/min to 0, 0.5, or 1 Gy), or protons (150 MeV, 0.5 Gy) followed by 16O (600 MeV/n, 0.1 Gy). Separate groups of mice received 137Cs γ rays (1 Gy/min to 0, 0.5, 1, or 3 Gy) as a reference. Cardiac function and blood velocity were measured with ultrasonography at 3, 5, 7, and 9 months after irradiation. At 2 weeks, 3 months, and 9 months, cardiac tissue was collected to assess apoptosis, tissue remodeling, and markers of immune cells. Results: Ejection fraction and fractional shortening decreased at 3 and 7 months after 16O. These parameters did not change in mice exposed to γ rays, protons, or protons followed by 16O. Each of the radiation exposures caused only small increases in cleaved caspase3 and numbers of apoptotic nuclei. Changes in the levels of α smooth muscle cell actin and a 75kDa peptide of collagen type III in the left ventricle suggested tissue remodeling, but there was no significant change in total collagen deposition at 2 weeks, 3 months, and 9 months. Increases in protein amounts of cluster of differentiation (CD)2, CD68, and CD45 as measured with immunoblots at 2 weeks, 3 months, and 9 months after exposure to protons or 16O alone suggested immune cell infiltration. For type III collagen, CD2 and CD68, the efficacy in inducing protein abundance of CD2, CD68, and CD45 was 16O greater than protons was greater than γ rays greater than protons followed by 16O. Conclusions: Low dose, high energy charged particle irradiation caused mild changes in cardiac function and tissue remodeling in the mouse. This dataset derives result from the western blot, histology, and immunohistochemistry assays.","Ionizing Radiation
absorbed radiation dose
Time","protein quantification
Molecular Cellular Imaging
Molecular Cellular Imaging",,NSRL,10.26030/kw6b-7t22
OSD-592,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster (Immunohistochemistry),Drosophila melanogaster,Spaceflight Study,"Spaceflight poses risks to the central nervous system (CNS), and understanding neurological responses is important for future missions. We report CNS changes in Drosophila aboard the International Space Station in response to spaceflight microgravity (SFμg) and artificially simulated Earth gravity (SF1g) via inflight centrifugation as a countermeasure. While inflight behavioral analyses of SFμg exhibit increased activity, postflight analysis displays significant climbing defects, highlighting the sensitivity of behavior to altered gravity. Multi-omics analysis shows alterations in metabolic, oxidative stress and synaptic transmission pathways in both SFμg and SF1g; however, neurological changes immediately postflight, including neuronal loss, glial cell count alterations, oxidative damage, and apoptosis, are seen only in SFμg. Additionally, progressive neuronal loss and a glial phenotype in SF1g and SFμg brains, with pronounced phenotypes in SFμg, are seen upon acclimation to Earth conditions. Overall, our results indicate that artificial gravity partially protects the CNS from the adverse effects of spaceflight. This study derives results from the immunohistochemistry (cellular and molecular imaging) assay from whole brains.","Altered Gravity
Sex
Spaceflight",Molecular Cellular Imaging,SpaceX-14,Multi-use Variable-gravity Platform (MVP),10.26030/nbbs-bc37
OSD-594,Advancing the automation of plant nucleic acid extraction for rapid diagnosis of plant diseases in space,Microbiota,Ground Study,"Human space exploration missions will continue the development of sustainable plant cultivation in what are obviously novel habitat settings. Effective pathology mitigation strategies are needed to cope with plant disease outbreaks in any space-based plant growth system. However, few technologies currently exist for space-based diagnosis of plant pathogens. Therefore, we developed a method of extracting plant nucleic acid that will facilitate the rapid diagnosis of plant diseases for future spaceflight applications. The microHomogenizer from Claremont BioSolutions, originally designed for bacterial and animal tissue samples, was evaluated for plant–microbial nucleic acid extractions. The microHomogenizer is an appealing device in that it provides automation and containment capabilities that would be required in spaceflight applications. Two different plant pathosystems were used to assess the versatility of the extraction process. Tomato and lettuce plants were respectively inoculated with a fungal plant pathogen, an oomycete pathogen, and a plant viral pathogen. The microHomogenizer, along with the developed protocols, proved to be an effective mechanism for producing DNA from two pathosystems, in that PCR and sequencing of the resulting samples demonstrated clear DNA-based diagnoses. Thus, this investigation advances the efforts to automate nucleic acid extraction for future plant disease diagnosis in space.","Organism Part
Treatment",Metagenomic sequencing,,Magenta Vessels,10.26030/qc04-a934
OSD-595,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,Drosophila melanogaster,Spaceflight Study,"Spaceflight poses risks to the central nervous system (CNS), and understanding neurological responses is important for future missions. We report CNS changes in Drosophila aboard the International Space Station in response to spaceflight microgravity (SFμg) and artificially simulated Earth gravity (SF1g) via inflight centrifugation as a countermeasure. While inflight behavioral analyses of SFμg exhibit increased activity, postflight analysis displays significant climbing defects, highlighting the sensitivity of behavior to altered gravity. Multi-omics analysis shows alterations in metabolic, oxidative stress and synaptic transmission pathways in both SFμg and SF1g; however, neurological changes immediately postflight, including neuronal loss, glial cell count alterations, oxidative damage, and apoptosis, are seen only in SFμg. Additionally, progressive neuronal loss and a glial phenotype in SF1g and SFμg brains, with pronounced phenotypes in SFμg, are seen upon acclimation to Earth conditions. Overall, our results indicate that artificial gravity partially protects the CNS from the adverse effects of spaceflight. This study derives results from the in-flight video analysis (video recording assay).","Altered Gravity
Spaceflight",Behavior,SpaceX-14,Multi-use Variable-gravity Platform (MVP),10.26030/vsya-2v22
OSD-596,"Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster (Behavior, Climbing)",Drosophila melanogaster,Spaceflight Study,"Spaceflight poses risks to the central nervous system (CNS), and understanding neurological responses is important for future missions. We report CNS changes in Drosophila aboard the International Space Station in response to spaceflight microgravity (SFμg) and artificially simulated Earth gravity (SF1g) via inflight centrifugation as a countermeasure. While inflight behavioral analyses of SFμg exhibit increased activity, postflight analysis displays significant climbing defects, highlighting the sensitivity of behavior to altered gravity. Multi-omics analysis shows alterations in metabolic, oxidative stress and synaptic transmission pathways in both SFμg and SF1g; however, neurological changes immediately postflight, including neuronal loss, glial cell count alterations, oxidative damage, and apoptosis, are seen only in SFμg. Additionally, progressive neuronal loss and a glial phenotype in SF1g and SFμg brains, with pronounced phenotypes in SFμg, are seen upon acclimation to Earth conditions. Overall, our results indicate that artificial gravity partially protects the CNS from the adverse effects of spaceflight. This study derives results from the climbing assay (locomotor assay).","Altered Gravity
Spaceflight
Sex",Behavior,SpaceX-14,Multi-use Variable-gravity Platform (MVP),10.26030/eybf-jv71
OSD-599,Transcriptomic Effects on the Mouse Heart Following 30 Days on the International Space Station.,Mus musculus,Spaceflight Study,"Efforts to understand the impact of spaceflight on the human body stem from growing interest in long-term space travel. Multiple organ systems are affected by microgravity and radiation, including the cardiovascular system. Previous transcriptomic studies have sought to reveal the changes in gene expression after spaceflight. However, little is known about the impact of long-term spaceflight on the mouse heart in vivo. This study focuses on the transcriptomic changes in the hearts of female C57BL/6J mice flown on the International Space Station (ISS) for 30 days. RNA was isolated from the hearts of three flight and three comparable ground control mice and RNA sequencing was performed. Our analyses showed that 1147 transcripts were significantly regulated after spaceflight. The MAPK, PI3K-Akt, and GPCR signaling pathways were predicted to be activated. Transcripts related to cytoskeleton breakdown and organization were upregulated, but no significant change in the expression of extracellular matrix (ECM) components or oxidative stress pathway-associated transcripts occurred. Our results indicate an absence of cellular senescence, and a significant upregulation of transcripts associated with the cell cycle. Transcripts related to cellular maintenance and survival were most affected by spaceflight, suggesting that cardiovascular transcriptome initiates an adaptive response to long-term spaceflight.",Spaceflight,transcription profiling,NG-11,Rodent Flight Hardware (Transporter and Habitat),10.26030/ev5t-0604
OSD-608,Dose-dependent skeletal deficits due to varied reductions in mechanical loading in rats (Tibia - pQCT),Rattus norvegicus,Ground Study,"Reduced skeletal loading leads to marked bone loss. Animal models of hindlimb suspension are widely used to assess alterations in skeleton during the course of complete unloading. More recently, the effects of partial unloading on the musculoskeletal system have been interrogated in mice and rats, revealing dose-dependent effects of partial weight bearing (PWB) on the skeleton and skeletal muscle. Here, we extended these studies to determine the structural and functional skeletal alterations in 14-week-old male Wister rats exposed to 20%, 40%, 70%, or 100% of body weight for 1, 2, or 4 weeks (n  equals 11–12/group). Using in vivo pQCT, we found that trabecular bone density at the proximal tibia declined in proportion to the degree of unloading and continued progressively with time, without evidence of a plateau by 4 weeks. Ex vivo measurements of trabecular microarchitecture in the distal femur by microcomputed tomography revealed deficits in bone volume fraction, 2 and 4 weeks after unloading. Histologic analyses of trabecular bone in the distal femur revealed the decreased osteoblast number and mineralizing surface in unloaded rats. Three-point bending of the femoral diaphysis indicated modest or no reductions in femoral stiffness and estimated modulus due to PWB. Our results suggest that this rat model of PWB leads to trabecular bone deterioration that is progressive and generally proportional to the degree of PWB, with minimal effects on cortical bone. This study derives results from the pQCT assay using tibia tissue.","Partial Weight Bearing
Time",Bone Microstructure,,Partial Weight Bearing,10.26030/emsm-0648
OSD-609,Drosophila parasitoids go to space: Unexpected and differential effects of spaceflight on hosts and their parasitoids - Wasp Leptopilina heterotoma 14 data,Leptopilina heterotoma,Spaceflight Study,"In this study, fruit flies and their parasitic wasps were sent to the ISS to examine changes in host immunity and parasite virulence. Key findings from this work are as follows: (a) Spaceflight spiked the expression of inflammation genes in fruit flies; (b) Spaceflight enhanced tumor growth in flies already suffering from chronic inflammation; (c) Spaceflight did not significantly affect parasitic wasp development, emergence, or the expression of virulence genes; (d) Parasite mutants with visible wing color and shape alterations were obtained. This study contains Leptopilina heterotoma14 data. The drosophila data is deposited in OSD-588, https://osdr.nasa.gov/bio/repo/data/studies/OSD-588, and the Leptopilina boulardi17 data is deposited in OSD-610, https://osdr.nasa.gov/bio/repo/data/studies/OSD-610.",Spaceflight,transcription profiling,SpaceX-14,"Vented Fly Box, Cargo Transfer Bag (CTB)",10.26030/5rjq-a347
OSD-610,Drosophila parasitoids go to space: Unexpected and differential effects of spaceflight on hosts and their parasitoids - Wasp Leptopilina boulardi 17 data,Leptopilina boulardi,Spaceflight Study,"In this study, fruit flies and their parasitic wasps were sent to the ISS to examine changes in host immunity and parasite virulence. Key findings from this work are as follows: (a) Spaceflight spiked the expression of inflammation genes in fruit flies; (b) Spaceflight enhanced tumor growth in flies already suffering from chronic inflammation; (c) Spaceflight did not significantly affect parasitic wasp development, emergence, or the expression of virulence genes; (d) Parasite mutants with visible wing color and shape alterations were obtained. This study contains Leptopilina boulardi 17 data. The drosophila data is deposited in OSD-588, https://osdr.nasa.gov/bio/repo/data/studies/OSD-588, and the Leptopilina heterotoma 14 data is deposited in OSD-609, https://osdr.nasa.gov/bio/repo/data/studies/OSD-609.",Spaceflight,transcription profiling,SpaceX-14,"Vented Fly Box, Cargo Transfer Bag (CTB)",10.26030/9ee4-6s36
OSD-612,Single nuclei transcriptomics and epigenomics of brain tissue from mice flown on the RR-10 mission,Mus musculus,Spaceflight Study,"The objective of the Rodent Research-10 mission (RR-10) was to investigate how spaceflight affects the cellular and molecular mechanisms of normal bone tissue regeneration in space. To this end, ten (10) 14-15 weeks-old female B6129SF2/J Wild Type (WT), and ten (10) 14-15 weeks-old female B6;129S2-Cdkn1atm1Tyj/J (p21-null) mice received a pre-flight subcutaneous injection of the bone marker (Alizarin Red), and were then delivered to the ISS aboard SpaceX-21. At 7 days before euthanasia, all 20 mice received an intraperitoneal (IP) injection with a bone formation marker (Calcein). At 48 +/- 2 hours before euthanasia, all 20 mice received an IP injection with a second dose of Calcein as well as a cell proliferation marker (BrdU). Then, following 28-29 days in microgravity, the Flight mice were euthanized. Following removal of hindlimbs, carcasses were wrapped in aluminum foil, preserved in the CryoChiller, and stored at -80 C or colder until return to Earth. In addition to the Flight group, three ground control groups were also part of the study: Basal (representing the pre-launch state), Vivarium (standard vivarium housing for the same duration of time as flight), and Ground (flight habitat in the International Space Station Environment Simulator, ISSES). Twenty mice (10 of each strain) were included in each of these control groups (except Vivarium which included 12 of each strain). These were treated, euthanized and processed on the same schedule and in the same manner as the flight samples. This study includes single nuclei transcriptomics and epigenomics data from left cerebral hemispheres from 5 WT flight animals, and 5 WT ground control animals.",Spaceflight,"transcription profiling
Chromatin Accessibility",SpaceX-21,Rodent Flight Hardware (Transporter and Habitat),10.26030/66jw-j748
OSD-613,Single nuclei transcriptomics and epigenomics of brain tissue from mice flown on the RRRM-2 mission,Mus musculus,Spaceflight Study,"In the Rodent Research Reference Mission (RRRM-2), forty female C57BL/6NTac mice were flown on the International Space Station. To assess differences in outcomes due to age, twenty 12 week-old and twenty 29 week-old mice were flown, respectively. To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice. ISS-T and LAR mice were the same age at sacrifice. Both the ISS-T and LAR animals had independent ground controls (10 mice per group housed in flight hardware in matched environmental conditions), basal controls (10 mice per group sacrificed 2 days before launch), and vivarium controls (10 mice per group housed within standard vivarium habitats). Thus RRRM-2 included a total of 160 mice. This study includes single nuclei transcriptomics and epigenomics from left cerebral hemispheres from 4 young ISS-T spaceflight animals, 5 old ISS-T spaceflight animals, 5 young ISS-T ground control animals, and 4 young ISS-T ground control animals.","Spaceflight
Age","transcription profiling
Chromatin Accessibility",SpaceX-18,Rodent Flight Hardware (Transporter and Habitat),10.26030/cevt-ja62
OSD-616,Influence of Sex Hormones on Nervous System and Musculoskeletal Health in Micro and Martian Fractional Gravity in Rat Analogues (Force Plate; Soleus),Rattus norvegicus,Ground Study,"Gonadal hormones, such as testosterone and estradiol, modulate muscle size and strength in males and females. However, the influence of sex hormones on muscle strength in micro- and partial-gravity environments (e.g., the Moon or Mars) is not fully understood. The purpose of this study was to determine the influence of gonadectomy (castration/ovariectomy) on progression of muscle atrophy in both micro- and partial-gravity environments in male and female rats. Male and female Fischer rats (n equals 120) underwent castration/ovariectomy (CAST/OVX) or sham surgery (SHAM) at 11 weeks of age. After 2 weeks of recovery, rats were exposed to hindlimb unloading (0g), partial weight bearing at 40% of normal loading (0.4g, Martian gravity), or normal loading (1.0g) for 28 days. In males, CAST did not exacerbate body weight loss or other metrics of musculoskeletal health. In females, OVX animals tended to have greater body weight loss and greater gastrocnemius loss. Within 7 days of exposure to either microgravity or partial gravity, females had detectable changes to estrous cycle, with greater time spent in low-estradiol phases diestrus and metestrus (∼47% in 1g vs. 58% in 0g and 72% in 0.4g animals, P equals 0.005). We conclude that in males testosterone deficiency at the initiation of unloading has little effect on the trajectory of muscle loss. In females, initial low estradiol status may result in greater musculoskeletal losses. This study derives results from Force Plate.","Altered Gravity
Time
Sex
Treatment",Muscle Force,,Partial Weight Bearing,10.26030/e0yx-ta10
OSD-617,Influence of gonadectomy on muscle health in micro- and partial-gravity environments in rats (Estrous Cycle Monitoring),Rattus norvegicus,Ground Study,"Gonadal hormones, such as testosterone and estradiol, modulate muscle size and strength in males and females. However, the influence of sex hormones on muscle strength in micro- and partial-gravity environments (e.g., the Moon or Mars) is not fully understood. The purpose of this study was to determine the influence of gonadectomy (castration/ovariectomy) on progression of muscle atrophy in both micro- and partial-gravity environments in male and female rats. Male and female Fischer rats (n equals 120) underwent castration/ovariectomy (CAST/OVX) or sham surgery (SHAM) at 11 weeks of age. After 2 weeks of recovery, rats were exposed to hindlimb unloading (0g), partial weight bearing at 40% of normal loading (0.4g, Martian gravity), or normal loading (1.0g) for 28 days. In males, CAST did not exacerbate body weight loss or other metrics of musculoskeletal health. In females, OVX animals tended to have greater body weight loss and greater gastrocnemius loss. Within 7 days of exposure to either microgravity or partial gravity, females had detectable changes to estrous cycle, with greater time spent in low-estradiol phases diestrus and metestrus (∼47% in 1g vs. 58% in 0g and 72% in 0.4g animals, P equals 0.005). We conclude that in males testosterone deficiency at the initiation of unloading has little effect on the trajectory of muscle loss. In females, initial low estradiol status may result in greater musculoskeletal losses. This study derives results from Estrous Cycle Monitoring (Cytology).","Altered Gravity
Time
Treatment",Estrous Cycle,,Partial Weight Bearing,10.26030/k1ez-4x16
OSD-618,Combined space stressors induce independent behavioral deficits predicted by early peripheral blood monocytes (Behavioral Assays),Mus musculus,Ground Study,"Interplanetary space travel poses many hazards to the human body. To protect astronaut health and performance on critical missions, there is first a need to understand the effects of deep space hazards, including ionizing radiation, confinement, and altered gravity. Previous studies of rodents exposed to a single such stressor document significant deficits, but our study is the first to investigate possible cumulative and synergistic impacts of simultaneous ionizing radiation, confinement, and altered gravity on behavior and cognition. Our cohort was divided between 6‐month‐old female and male mice in group, social isolation, or hindlimb unloading housing, exposed to 0 or 50 cGy of 5 ion simplified simulated galactic cosmic radiation (GCRsim). We report interactions and independent effects of GCRsim exposure and housing conditions on behavioral and cognitive performance. Exposure to GCRsim drove changes in immune cell populations in peripheral blood collected early after irradiation, while housing conditions drove changes in blood collected at a later point. Female mice were largely resilient to deficits observed in male mice. Finally, we used principal component analysis to represent total deficits as principal component scores, which were predicted by general linear models using GCR exposure, housing condition, and early blood biomarkers. This dataset derives results from the behavior assays Balance Beam, Elevated Plus Maze, Open Field, Three Chamber Social Approach, Novel Object Recognition, and Radial Arm Water Maze using the same source animals as the flow cytometry blood samples in OSD-640.","Hindlimb Unloading
Ionizing Radiation
Sex
Housing Condition","Behavior
Behavior
Behavior
Behavior
Behavior
Behavior",,,10.26030/2tjk-hw88
OSD-622,"Microgravity effects on leaf morphology, cell structure, carbon metabolism and mRNA expression of dwarf wheat",Triticum aestivum,Spaceflight Study,"The PESTO experiment was launched on April 8, 2002 onboard STS-110 (Atlantis) and was returned on June 19, 2002 onboard STS-111 (Endeavor), a total of 73 days in space. The ground control was conducted on a 14-day delay, and was harvested on July 3, 2002. During this period there were a total of 7 harvests of PESTO wheat and priming of 6 wheat root modules on orbit. A total of 18 plants were fixed on orbit for morphological and structural analysis, 4 plants were fixed for RNA and molecular genetic analysis and greater than 150 plants were frozen for biochemical analysis. A total of 3018 images of wheat chambers were collected from the BPS cameras during flight, and 3,640 images were obtained from the ground controls. A total of 65 digital images of the wheat harvest were collected during flight, with 75 being collected from ground controls. In addition, crew members recorded approximately 50 images and over 3 hrs of video of flight operations. Over 2 gigabytes of environmental data were obtained from the flight and ground control units. A ground control experiment was conducted in the BPS ground control chamber in the Orbiter Environment Simulator (OES) at the Kennedy Space Center Launch Site Support Facility in Hangar L. The ground control was delayed by 14-days from the real- time flight operations in order to duplicate the flight operations as closely as possible in a 1 g environment. At launch, two chambers were dedicated to the PESTO study, which consisted of three growth cycles using Apogee wheat. The third chamber was dedicated to the TVT study for the first growth cycle and used Apogee wheat. For the subsequent two wheat growth cycles, the third chamber was used for the PESTO study. For the first growth cycle in all Plant Growth Chambers, seeds were germinated pre-launch. In PESTO, the ages of the plants were staggered at launch so that comparisons of physiological and biochemical properties between mature plants, which were well developed and photosynthetically competent, and young plants could be studied. In-flight, plants were harvested at a specific age, and the initiation of the next cycle of growth was staggered between the chambers","Spaceflight
Age at sample harvest
Gravity environment at imbibition
duration",transcription profiling,STS-110,"Biomass Production System (BPS): As Flown on STS-110, Orbital Environmental Simulator (OES)",10.26030/m2eg-jx23
OSD-624,Arabidopsis transcriptome in Virgin Galactic human-tended suborbital spaceflight,Arabidopsis thaliana,High Altitude Study,"The Virgin Galactic Unity 22 mission conducted the first astronaut-manipulated suborbital spaceflight experiment. The experiment examined the operationalization of Kennedy Space Center Fixation Tubes (KFTs) as a generalizable approach to preserving biology at various phases of suborbital flight. The biology chosen for this experiment was Arabidopsis thaliana, ecotype Col-0, because of the plant’s history of spaceflight experimentation within KFTs and wealth of comparative data from orbital experiments. KFTs were deployed as a wearable device, a leg pouch attached to the astronaut, which proved to be operationally effective during the course of the flight. Data from the inflight samples indicated that the microgravity period of the flight elicited the strongest transcriptomic responses as measured by the number of genes showing differential expression. Genes related to reactive oxygen species and stress, as well as genes associated with orbital spaceflight, were highly represented among the suborbital gene expression profile. In addition, gene families largely unaffected in orbital spaceflight were diversely regulated in suborbital flight, including stress-responsive transcription factors. The human-tended suborbital experiment demonstrated the operational effectiveness of the KFTs in suborbital flight and suggests that rapid transcriptomic responses are a part of the temporal dynamics at the beginning of physiological adaptation to spaceflight.","Time
Altered Gravity
Organism Part",transcription profiling,Unity 22,Kennedy Space Center Fixation Tubes (KFTs),10.26030/8ane-wq52
OSD-627,"Characterization of Biofilm Formation, Growth, and Gene Expression on Different Materials and Environmental Conditions in Microgravity (Morphology of Pseudomonas aeruginosa biofilms)",Pseudomonas aeruginosa,Spaceflight Study,"Microorganisms' natural ability to live as organized multicellular communities – also known as biofilms – provides them with unique survival advantages. For instance, biofilms are protected against environmental stresses thanks to their extracellular matrix, which could contribute to persistent infections after treatment. Biofilms are also capable of strongly attaching to surfaces, where their metabolism byproducts could lead to surface material degradation. Furthermore, microgravity can alter biofilm behavior in unexpected ways, making the presence of biofilms in space a risk for both astronauts and spaceflight hardware. Despite the efforts to eliminate microorganism contamination from spacecrafts surfaces, it is impossible to prevent human-associated bacteria or fugus from eventually establishing biofilm surface colonization. Nevertheless, by understanding the changes that biofilms undergo in microgravity, it is possible to identify key differences and pathways that could be targeted to significantly reduce biofilm formation. The Space Biofilms project, performed at the International Space Station, contributes to such understanding by characterizing the morphology and gene expression of bacterial and fungal biofilms formed in microgravity with respect to ground controls. Pseudomonas aeruginosa was used as model organism for the bacterial morphology and transcriptomic studies, while Penicillium rubens was used for the fungal morphology study. The data presented on this study page represent the morphology of Pseudomonas aeruginosa using the confocal microscopy assay.","Spaceflight
Growth Environment
Time",Molecular Cellular Imaging,NG-12,BioServe Space Technologies' Fluid Processing Apparatus (FPA),10.26030/bp7m-0f62
